mtm;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
0467906;;;;;;;;;;;;3800000;3600000;3400000;3200000;3000000;2800000;;;;;;;;
0467907;;;;;;;;;;;;4000000;3800000;3600000;3400000;3200000;;;;;;;;;
08017057;;;;;;;;;;;;3800000;3600000;3400000;3200000;3000000;2800000;;;;;;;;
08014053;;;;;;;;;;;;;;;;3400000;3200000;3000000;;;;2500000;2375000;;
0467908;;;;;;;5500000;5250000;5000000;4750000;4500000;4250000;;;;;;;;;;;;;
08017053;;;;;;;5800000;5550000;5300000;5050000;4800000;4600000;4400000;4200000;4000000;3800000;;;;;;;;;
08017069;;;;;;;5800000;5550000;5300000;5050000;4800000;4550000;;;;;;;;;;;;;
08017068;;;;;;;5800000;5550000;5300000;5050000;4800000;4600000;4400000;4200000;4000000;3800000;;;;;;;;;
08017038;;;;;;;;;;;;;;;;3400000;3200000;3000000;;;;2500000;2375000;;
08017012;;;;;;;;;;;;;;;;3400000;3200000;3000000;;;;2500000;2375000;;
0467912;;;;;;;5800000;5550000;5300000;5050000;4800000;4550000;;;;;;;;;;;;;
08017089;;;;;5500000;5300000;5100000;;;;;;;;;;;;;;;;;;
08014054;;;;;;;6200000;5950000;5700000;5450000;5200000;4950000;4700000;4450000;4200000;3950000;;;;;;;;;
0467909;;;;;;;6200000;5950000;5700000;5450000;5200000;4950000;4700000;4450000;4200000;3950000;;;;;;;;;
08017054;;;;;;;6200000;5950000;5700000;5450000;5200000;4950000;4700000;4450000;4200000;3950000;;;;;;;;;
08017039;;;;;;;;;;;;;;;;4000000;3800000;3600000;;;;;;;
0467922;10294015;9624900;8999300;8414300;7867300;7356000;6877800;;;;;;;;;;;;;;;;;;
0467923;9590005;8966600;8607900;8263700;7933100;7615800;7311200;;;;;;;;;;;;;;;;;;
08017083;10294015;9624900;8999300;8414300;7867300;7356000;6877800;;;;;;;;;;;;;;;;;;
08017082;;;;6200000;6000000;5800000;5500000;;;;;;;;;;;;;;;;;;
08017084;9590005;8966600;8607900;8263700;7933100;7615800;7311200;;;;;;;;;;;;;;;;;;
0467935;11964295;11186700;10739200;;;;;;;;;;;;;;;;;;;;;;
08013037;;;;;;;;;;;;;;;;2750000;2640000;2534400;;;;;;;
0467926;674900;;;;;;;;;;;;;;;;;;;;;;;;
0467910;619976;;;;;;;;;;;;;;;;;;;;;;;;
08016051;619976;;;;;;;;;;;;;;;;;;;;;;;;
0467901;1002812;;;;;;;;;;;;;;;;;;;;;;;;
0467919;1018400;;;;;;;;;;;;;;;;;;;;;;;;
0383902;;;;;;5580000;5347500;5115000;4882500;4650000;4456300;4262500;4068800;3875000;;;;;;;;;;;
0383915;;;;;;5580000;5347500;5115000;4882500;4650000;4456300;4262500;4068800;3875000;;;;;;;;;;;
0383947;;;;;;5580000;5347500;5115000;4882500;4650000;4456300;4262500;4068800;3875000;;;;;;;;;;;
0383912;;;;;;6355000;6083800;5812500;5541300;5270000;5076300;4882500;4688800;4495000;;;;;;;;;;;
0383937;;;;;;6355000;6083800;5812500;5541300;5270000;5076300;4882500;4688800;4495000;;;;;;;;;;;
0383948;;;;;;6355000;6083800;5812500;5541300;5270000;5076300;4882500;4688800;4495000;;;;;;;;;;;
0383922;;;;;;6355000;6083800;5812500;5541300;5270000;5076300;4882500;4688800;4495000;;;;;;;;;;;
0383923;;;;;;6820000;6510000;6200000;5928800;5657500;5386300;5115000;4921300;4727500;;;;;;;;;;;
0383931;;;;;;7440000;7168800;6897500;6626300;6355000;6122500;5890000;5618800;5347500;;;;;;;;;;;
0383932;;;;;;8835000;8525000;8215000;7905000;7595000;7285000;6975000;6665000;6355000;;;;;;;;;;;
0383928;;;;;;10075000;9687500;9300000;8990000;8680000;8292500;7905000;7595000;7285000;;;;;;;;;;;
0383905;;;;;;10540000;10152500;9765000;9300000;8835000;8525000;8215000;7866300;7517500;;;;;;;;;;;
0383940;;;;;;10617500;10191300;9765000;9377500;8990000;8680000;8370000;8060000;7750000;;;;;;;;;;;
0383929;;;;;;13795000;12942500;12090000;11625000;11160000;10772500;10385000;9997500;9610000;;;;;;;;;;;
0383939;;;;;;13795000;12942500;12090000;11625000;11160000;10772500;10385000;9997500;9610000;;;;;;;;;;;
0383920;;;;;;5270000;4960000;4650000;4495000;4340000;4146300;3952500;3758800;3565000;;;;;;;;;;;
0383943;;;;;;5270000;4960000;4650000;4495000;4340000;4146300;3952500;3758800;3565000;;;;;;;;;;;
0383921;;;;;;5735000;5502500;5270000;5037500;4805000;4611300;4417500;4223800;4030000;;;;;;;;;;;
0383944;;;;;;5735000;5502500;5270000;5037500;4805000;4611300;4417500;4223800;4030000;;;;;;;;;;;
M7922001;;;;;;;;;;;;;;798200;771500;741300;;;;;;;;;
00422137;;;;;;;;;;;;;;;;;;;;;;;415000;410300;405500
00422078;;;;;;;;;;;;;;;;;;;;;;;;;396100
00422194;;;;;;;;;;;;;;;;;;;;;;;415000;410300;405500
00422193;;;;;;;;;;;;;;;;;;;;;459800;454700;449700;444600;
00422176;;;;;;;;;;;;;;;;;;;;;;;415000;410300;405500
00422112;;;;;;;;;;;;;;;;;;;;;464800;459800;454700;449700;444600
00422232;;;;;;;;;;;;;;;;;;;;;;;459800;454700;449700
00422234;;;;;;;;;;;;;;;;;;;;;464800;459800;454700;449700;444600
00422138;;;;;;;;;;;;;;;;;;;;;;;434500;429500;424400
00402138;;;;;;;;;;;;;;;;;;;;;;;434500;429500;424400
00422233;;;;;;;;;;;;;;;;;;;;;464800;459800;454700;449700;444600
00422101;;;;;;;;;;;;;;;;;;;;;;;434500;429500;424400
00422091;;;;;;;;;;;;;;;;;;;;;;;415000;410300;405500
00422140;;;;;;;;;;;;;;;;;;;;;;;415000;410300;405500
00422177;;;;;;;;;;;;;;;;;;;;;464800;459800;454700;449700;444600
00405227;;;;;;;;;;;;;;;;;;;;;;437000;426900;421900;416800
00402081;;;;;;;;;;;;;;;;;;;;;;437000;426900;421900;416800
00402195;;;;;;;;;;;;;;;;;;;;;;437000;426900;421900;416800
00405195;;;;;;;;;;;;;;;;;;;;;;437000;426900;421900;416800
00402196;;;;;;;;;;;;;;;;;;;;;444600;439600;434500;;
00405196;;;;;;;;;;;;;;;;;;;;;444600;439600;434500;;
00405174;;;;;;;;;;;;;;;;;;;;;;;432000;426900;421900
00405163;;;;;;;;;;;;;;;;;;;;;;;439600;434500;429500
00405108;;;;;;;;;;;;;;;;;;;;;;;439600;434500;429500
00402102;;;;;;;;;;;;;;;;;;;;;;;444600;439600;434500
00405109;;;;;;;;;;;;;;;;;;;;;;;434500;429500;424400
00405090;;;;;;;;;;;;;;;;;;;;;;;432000;426900;421900
00405110;;;;;;;;;;;;;;;;;;;;;;;432000;426900;421900
00405141;;;;;;;;;;;;;;;;;;;;;;;432000;426900;421900
04405141;;;;;;;;;;;;;;;;;;;;;;;432000;426900;421900
00405175;;;;;;;;;;;;;;;;;;;;;;437000;426900;421900;416800
00422249;;;;;;;;;;;;;2137900;2031000;1929500;1824000;1732800;;;;;;;;
00405249;;;;;;;;;;;;;2280400;2166400;2058100;1945600;1848400;;;;;;;;
00422217;;;;;;;;;;;;;2708000;2572600;2444000;2310500;2194900;2085200;1980900;1872700;;;;;
00405217;;;;;;;;;;;;;2708000;2572600;2444000;2310500;2194900;2085200;1980900;1872700;;;;;
00405253;;;;;;;;;;;;;2708000;2572600;2444000;2310500;2194900;2085200;1980900;1872700;;;;;
00405215;;;;;;;;;;;;;2423000;2301800;2186700;2067300;1963900;1865700;1772400;1675500;;;;;
00422259;;;;;;;;;;;;;2423000;2301800;2186700;2067300;1963900;1865700;1772400;1675500;;;;;
00405259;;;;;;;;;;;;;2423000;2301800;2186700;2067300;1963900;1865700;1772400;1675500;;;;;
00405243;;;;;;;;;;;;;2423000;2301800;2186700;2067300;1963900;1865700;1772400;1675500;;;;;
00405242;;;;;;;;;;;;;2565500;2437200;2315400;2188900;2079400;1975400;1876700;1774100;1685400;1601100;;;
00405218;;;;;;;;;;;;;2565500;2437200;2315400;2188900;2079400;1975400;1876700;1774100;1685400;1601100;;;
00422228;;;;;;;;;;;;;7126400;6770000;6431500;6080100;5776100;5487300;;;;;;;
00422265;;;;;;;;;;;;;2565500;2437200;2315400;2188900;2079400;1975400;1876700;1774100;1685400;1601100;;;
00405265;;;;;;;;;;;;;2565500;2437200;2315400;2188900;2079400;1975400;1876700;1774100;1685400;1601100;;;
00422246;;;;;;;;;;;;;2137900;2031000;1929500;1824000;1732800;;;;;;;;
00405246;;;;;;;;;;;;;2280400;2166400;2058100;1945600;1848400;;;;;;;;
00422226;;;;;;;;;;;;;2137900;2031000;1929500;1824000;1732800;;;;;;;;
00405226;;;;;;;;;;;;;2137900;2031000;1929500;1824000;1732800;;;;;;;;
00402087;;;;;;;;;;;;;;;;;;;;;;;;;444600
00402010;;;;;;;;;;;;;;;;;;;;;;;;;454700
00402022;;;;;;;;;;;;;;;;;;;;;;;;;444600
00402050;;;;;;;;;;;;;;;;;;;;;;;;;505200
00405050;;;;;;;;;;;;;;;;;;;;;;;;;505200
00402043;;;;;;;;;;;;;;;;;;;;;;;;;459800
00402003;;;;;;;;;;;;;;;;;;;;;;;;;444600
00434128;;;;;;;;;;;;;;;;;;;;;;;;;444600
00402054;;;;;;;;;;;;;;;;;;;;;;;;;444600
00402036;;;;;;;;;;;;;;;;;;;;;;;;;444600
00402103;;;;;;;;;;;;;;;;;;;;;;;;;444600
00402086;;;;;;;;;;;;;;;;;;;;;;;;;505200
00402074;;;;;;;;;;;;;;;;;;;;;;;;;444600
00402129;;;;;;;;;;;;;;;;;;;;;;;;;444600
00434129;;;;;;;;;;;;;;;;;;;;;;;;;444600
00402281;;;;;;;;;;;;;;;;;;;;917400;871500;827900;786500;747200;709900
00402287;;;;;;;;;;;;;;;;;1037000;997100;958800;917400;;;;;
00402166;;;;;;;;;;;;;;;;;1134700;1077900;1024000;968100;919700;873700;830000;788500;749100
00402258;;;;;;;;;;;;;;;;;1134700;1077900;1024000;968100;919700;873700;830000;788500;749100
00402167;;;;;;;;;;;;;;;;;1134700;1077900;1024000;968100;919700;873700;830000;788500;749100
00404269;;;;;;;;;;;;;;;;;;;893500;846800;804500;764300;726000;689700;
00404308;;;;;;;;;;;;;;;;;;;;;889200;844700;802500;762300;
00404206;;;;;;;;;;;;;;;;;;;893500;846800;804500;764300;726000;689700;
00402168;;;;;;;;;;;;;;;;;1134700;1077900;1024000;968100;919700;873700;830000;788500;749100
00402170;;;;;;;;;;;;;;;;;;;;988000;938600;891600;847000;804700;764500
00404207;;;;;;;;;;;;;;;;;;;;;889200;844700;802500;762300;
00402191;;;;;;;;;;;;;;;;;;;;988000;938600;891600;847000;804700;764500
00402190;;;;;;;;;;;;;;;;;;1134700;1077900;1019000;968100;919700;873700;830000;788500
00404208;;;;;;;;;;;;;;;;;;;;;846800;804500;764300;726000;
00404231;;;;;;;;;;;;;;;;;1188400;1131800;1077900;1019000;;;;;
00402221;;;;;;;;;;;;;;;;;;1134700;1077900;1019000;968100;919700;873700;830000;788500
00402272;;;;;;;;;;;2023500;1959200;1904800;;;;;;;;;;;;
00404256;;;;;;;;;;;;;1904800;1850400;1796000;1733000;1678900;;;;;;;;
00402256;;;;;;;;;;;;;1904800;1850400;1796000;1733000;1678900;;;;;;;;
00402237;;;;;;;;;;;;;1904800;1850400;1796000;1733000;1678900;;;;;;;;
00402236;;;;;;;;;;;;;1904800;1850400;1796000;1733000;1678900;;;;;;;;
00404238;;;;;;;;;2143200;2078200;2023500;1959200;1904800;1850400;1796000;1733000;1678900;;;;;;;;
00402238;;;;;;;;;2143200;2078200;2023500;1959200;1904800;1850400;1796000;1733000;1678900;;;;;;;;
00402239;;;;;;;;;;;;;1904800;1850400;1796000;1733000;1678900;;;;;;;;
00402252;;;;;;;;;2308100;2242200;2187500;2122500;2068100;2013600;1959200;1895500;1841400;;;;;;;;
00402240;;;;;;;;;2308100;2242200;2187500;2122500;2068100;2013600;1959200;1895500;1841400;;;;;;;;
00421248;;;;;;;;;;;;;1796000;1741500;1687100;1624700;1570600;;;;;;;;
00422248;;;;;;;;;;;;;1796000;1741500;1687100;1624700;1570600;;;;;;;;
00421241;;;;;;;;;;;;4872500;4821500;4770500;4719500;4645700;4594900;;;;;;;;
00404327;;;;;;;;;2143200;2078200;2023500;1959200;1904800;1850400;1796000;1733000;1678900;;;;;;;;
00404273;;;;;;;;;2143200;2078200;2023500;1959200;1904800;1850400;1796000;1733000;1678900;;;;;;;;
00402273;;;;;;;;;;;;;1796000;1741500;1687100;1624700;1570600;;;;;;;;
00402225;;;;;;;;;;;;;;;;;;;1015500;976800;943100;909400;875700;842100;
00402189;;;;;;;;;;;;;;;;;;;1015500;976800;943100;909400;875700;842100;
00402229;;;;;;;;;;;;;;;;;1353900;;;;;;;;
00426142;;;;;;;;;;;;;;;;;;;;;;7762500;7374400;7005700;6655400
