mtm;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998
0080802;;;;;;22320000;21204000;20088000;19083600;18079200;17175200;16271300;15457700;14644100;13912000;13179800;12520900;11861800;11268800;10675600;10141800;9608000;9271800;8935400;
0080807;38260665;36347700;32147000;30608500;29065900;27547700;26170400;24792900;23553300;22313600;21198000;20082300;19078200;18074100;17170400;16266600;15453300;14639900;13908000;13175900;12517200;11858400;11443500;11028400;
0080806;;;;;;22320000;21204000;20088000;19083600;18079200;17175200;16271300;15457700;14644100;13912000;13179800;12520900;11861800;11268800;10675600;10141800;9608000;9271800;8935400;
0080803;;;;;;;;;;;;20082300;19078200;18074100;17170400;16266600;15453300;14639900;13908000;13175900;;;;;
0080808;;;;;;;;;;;;20082300;19078200;18074100;17170400;16266600;15453300;14639900;13908000;13175900;;;;;
0080809;;;;;;;;;;;;22605200;21474900;20344700;19327400;18310200;17394700;16479100;15655300;14831300;;;;;
R1412014;;;;;;;;;2333300;2206000;2095700;1981200;1882200;1788100;1698600;1605800;;;;;;;;;
P0422016;;;5784100;5187300;4632800;4093300;;;;;;;;;;;;;;;;;;;
P0426012;;;;6484200;5910800;5352800;;;;;;;;;;;;;;;;;;;
P0426027;;;;6484200;5910800;5352800;;;;;;;;;;;;;;;;;;;
P0426008;;;;6322100;5751000;5195400;;;;;;;;;;;;;;;;;;;
P0405038;;;9089300;8105200;;;;;;;;;;;;;;;;;;;;;
P0405037;8726500;7703500;7067700;6425200;;;;;;;;;;;;;;;;;;;;;
P0405040;8726500;7703500;7067700;6425200;;;;;;;;;;;;;;;;;;;;;
P0405050;9067500;;;;;;;;;;;;;;;;;;;;;;;;
P0405051;8432000;;;;;;;;;;;;;;;;;;;;;;;;
P0405036;8106500;7130000;6468000;5809600;;;;;;;;;;;;;;;;;;;;;
P0405039;8106500;7130000;6468000;5809600;;;;;;;;;;;;;;;;;;;;;
P0422017;;;5784100;5187300;4632800;4093300;;;;;;;;;;;;;;;;;;;
P0422029;;;6114600;5511500;;;;;;;;;;;;;;;;;;;;;
P0422018;;;;5511500;4952300;;;;;;;;;;;;;;;;;;;;
P0422031;;;5949300;5349400;;;;;;;;;;;;;;;;;;;;;
P0422014;;;5784100;5187300;4632800;4093300;;;;;;;;;;;;;;;;;;;
P0422028;;;5784100;5187300;4632800;4093300;;;;;;;;;;;;;;;;;;;
P0422013;;;;5835700;5271800;4723100;4229900;3741900;3430000;3103100;2792800;2624900;2470500;;;;;;;;;;;;
P0422009;;;;6322100;5751000;5195400;;;;;;;;;;;;;;;;;;;
P0405010;;;;6322100;5751000;5195400;;;;;;;;;;;;;;;;;;;
P0422006;;;;5511500;4952300;4408200;;;;;;;;;;;;;;;;;;;
P0422015;;;;;5112000;4565600;;;;;;;;;;;;;;;;;;;
P0405007;;;;;4792500;4250800;;;;;;;;;;;;;;;;;;;
P0405005;;;;5673600;4952300;4408200;;;;;;;;;;;;;;;;;;;
P0405001;;;;;;4250800;3916600;3585900;3274100;3103100;2948000;;;;;;;;;;;;;;
P0405002;;;;;;5195400;4699900;;;;;;;;;;;;;;;;;;
P0405011;;;;;5591300;5037900;;;;;;;;;;;;;;;;;;;
P0410045;17577000;11780000;;;;;;;;;;;;;;;;;;;;;;;
P0404043;13826000;9393000;;;;;;;;;;;;;;;;;;;;;;;
P0404020;;12369000;11243900;10119500;9107500;;;;;;;;;;;;;;;;;;;;
P0404025;;12369000;11243900;10119500;9107500;;;;;;;;;;;;;;;;;;;;
P0404033;;12369000;11243900;10119500;9107500;;;;;;;;;;;;;;;;;;;;
P0404042;;12369000;11243900;10119500;9107500;;;;;;;;;;;;;;;;;;;;
P0404048;14880000;10121500;;;;;;;;;;;;;;;;;;;;;;;
P0404026;;10881000;9890200;8901200;8011200;;;;;;;;;;;;;;;;;;;;
P0404034;;10881000;9890200;8901200;8011200;;;;;;;;;;;;;;;;;;;;
P0404041;;10881000;9890200;8901200;8011200;;;;;;;;;;;;;;;;;;;;
P0404024;;;;8215000;7285000;;;;;;;;;;;;;;;;;;;;
P0404035;10369500;9455000;8680000;7905000;;;;;;;;;;;;;;;;;;;;;
P0404032;;;;8215000;7285000;;;;;;;;;;;;;;;;;;;;
P0404019;;;;8215000;7285000;;;;;;;;;;;;;;;;;;;;
P0402049;14368500;10788000;;;;;;;;;;;;;;;;;;;;;;;
P0422004;;;;5835700;5271800;4723100;4229900;3741900;3430000;3103100;2792800;2624900;2470500;;;;;;;;;;;;
P0422003;;;;;;4250800;3759900;3430000;3118200;2792800;;;;;;;;;;;;;;;
37919079;5647270;5161500;4836000;4517800;4201600;3907400;3634000;3379600;3142900;2923000;2718400;;;;;;;;;;;;;;
37919106;5939290;5642300;5360200;5092200;4837600;4595800;4365900;;;;;;;;;;;;;;;;;;
37919105;7604455;7224200;6863100;6519900;6193800;5884100;5589900;;;;;;;;;;;;;;;;;;
37919007;;;;;;;;;;;;;3624200;3136300;2822600;2540500;2286400;2057800;1851900;;;;;;
37919020;;;;;;;;;;;;;3205900;2774300;2496900;2247200;2022400;1820300;1638200;;;;;;
37919008;;;;;;;;;;;;;3205900;2774300;2496900;2247200;2022400;1820300;1638200;;;;;;
37919023;;;;;;;;;;;;;3205900;2774300;2496900;2247200;2022400;1820300;1638200;;;;;;
37919032;;;;;;;;;;;;;3205900;2774300;2496900;2247200;2022400;1820300;1638200;;;;;;
37919025;;;;;;;;;;;;;3432600;2970400;2673300;2406200;2165400;1949000;1754000;;;;;;
37919093;;;;;;;;3627600;3472000;;;;2790000;2712500;2635000;2557500;2480000;2402500;2325000;;;;;;
37919028;;;;;;;;;;;;;5555400;4807600;4326800;3894100;3504700;3154100;2838800;;;;;;
37919081;5647270;5161500;4836000;4517800;4201600;3907400;3634000;3379600;3142900;2923000;2718400;;;;;;;;;;;;;;
37919095;5647270;5161500;4836000;4517800;4201600;3907400;3634000;3379600;3142900;2923000;2718400;;;;;;;;;;;;;;
37919076;6552935;5983000;5611000;5242400;4875400;4534100;4216800;3921500;3647000;3391700;3154300;;;;;;;;;;;;;;
37919094;6552935;5983000;5611000;5242400;4875400;4534100;4216800;3921500;3647000;3391700;3154300;;;;;;;;;;;;;;
37919088;3797500;3472000;3255000;3038000;2825300;2627600;2443600;2272600;2113400;1965600;1827900;;;;;;;;;;;;;;
37919112;3797500;3472000;3255000;3038000;2825300;2627600;2443600;2272600;2113400;1965600;1827900;;;;;;;;;;;;;;
37919002;;;;;;;;;;;;;3624200;3136300;2822600;2540500;2286400;2057800;1851900;;;;;;
37919098;;;;;3215600;2990400;2781200;2586500;2405400;;;;;;;;;;;;;;;;
37919097;;;;;3791300;3525900;3279200;3049600;2836200;;;;;;;;;;;;;;;;
37919013;;;;;;;;;;;;;2072800;1794000;1614500;1453100;1307700;1176900;1059300;;;;;;
37919012;;;;;;;;;;;;;2159600;1869000;1682100;1513900;1362500;1226200;1103600;;;;;;
37919067;;;;;;;;;;;;;2072800;1794000;1614500;1453100;1307700;1176900;1059300;;;;;;
37919069;;;;;;;;;;;;;2159600;1869000;1682100;1513900;1362500;1226200;1103600;;;;;;
37919038;;;;;;;;;;;;;2072800;1794000;1614500;1453100;1307700;1176900;1059300;;;;;;
37919034;3596930;3286000;3084500;2877600;2676100;2488800;2314600;2152500;2001800;1861700;1731400;1610300;1497500;1392700;;;;;;;;;;;
37919062;3596930;3286000;3084500;2877600;2676100;2488800;2314600;2152500;2001800;1861700;1731400;1610300;1497500;1392700;;;;;;;;;;;
37919015;;;;;;;;;;;;;5024600;4348200;3913400;3522100;3169900;2852900;2567600;;;;;;
37919014;;;;;;;;;;;;;3205900;2774300;2496900;2247200;2022400;1820300;1638200;;;;;;
37919063;3596930;3286000;3084500;2877600;2676100;2488800;2314600;2152500;2001800;1861700;1731400;1610300;1497500;1392700;;;;;;;;;;;
37919066;3596930;3286000;3084500;2877600;2676100;2488800;2314600;2152500;2001800;1861700;1731400;1610300;1497500;1392700;;;;;;;;;;;
37919123;2945000;2797800;2657900;2525000;2398800;2278800;2164900;2056500;;;;;;;;;;;;;;;;;
37919096;3596930;3286000;3084500;2877600;2676100;2488800;2314600;2152500;2001800;1861700;1731400;1610300;1497500;1392700;;;;;;;;;;;
37919016;;;;;;;;;;;;;2750500;2380200;2142100;1927900;1735200;1561600;1405500;;;;;;
37919019;;;;;;;;;;;;;2881100;2493200;2243900;2019700;1817500;1635900;1472300;;;;;;
37919017;;;;;;;;;;;;;2750500;2380200;2142100;1927900;1735200;1561600;1405500;;;;;;
37919018;;;;;;;;;;;;;2506800;2169400;1952200;1757100;1581300;1423200;1281100;;;;;;
37919022;;;;;;;;;;;;;2881100;2493200;2243900;2019700;1817500;1635900;1472300;;;;;;
37919068;;;;;;;;;;;;;2750500;2380200;2142100;1927900;1735200;1561600;1405500;;;;;;
37919040;;;;;;;;;;;;;3514900;3041900;2737600;2463900;2217400;1995800;1796100;;;;;;
37919041;;;;;;;;;;;;;3514900;3041900;2737600;2463900;2217400;1995800;1796100;;;;;;
37919042;;;;;;;;;;;;;3514900;3041900;2737600;2463900;2217400;1995800;1796100;;;;;;
37919026;;;;;3410000;3171300;;;;;;;2170000;2015000;1860000;1705000;1550000;1472500;1395000;;;;;;
37919036;;;;;3410000;3171300;;;;;;;2170000;2015000;1860000;1705000;1550000;1472500;1395000;;;;;;
37919029;;;;;3410000;3171300;;;;;;;2170000;2015000;1860000;1705000;1550000;1472500;1395000;;;;;;
37919055;5103530;4848400;4606000;4375700;4156800;3949100;3751600;;;;;;;;;;;;;;;;;;
37919111;6435910;6114100;5808500;5518000;5242100;4980000;4730900;;;;;;;;;;;;;;;;;;
37919056;6448000;6125600;5819300;5528400;5251900;4989300;4739900;;;;;;;;;;;;;;;;;;
37919057;6125135;5818900;5527900;5251600;4989000;4739600;4502600;;;;;;;;;;;;;;;;;;
37919103;5519705;5243700;4981500;4732500;4495800;4271000;4057400;;;;;;;;;;;;;;;;;;
37919131;5103530;4848400;4606000;4375700;4156800;3949100;3751600;;;;;;;;;;;;;;;;;;
37919134;6448000;6125600;5819300;5528400;5251900;4989300;4739900;;;;;;;;;;;;;;;;;;
37919120;5580000;5270000;4650000;4030000;3410000;2945000;2635000;;;;;;;;;;;;;;;;;;
37919145;5580000;5270000;4650000;4030000;3410000;2945000;2635000;;;;;;;;;;;;;;;;;;
37919133;6804500;6464300;6141100;5834000;;;;;;;;;;;;;;;;;;;;;
37919132;9300000;8835000;8393300;7973700;7574900;;;;;;;;;;;;;;;;;;;;
37919037;;;;;;;;;;;;;2790000;2650500;2518000;2392100;2272500;2158800;2051000;;;;;;
37919030;;;;;;;;;;;;;2790000;2650500;2518000;2392100;2272500;2158800;2051000;;;;;;
37919139;4433000;4211400;4000900;3800800;;;;;;;;;;;;;;;;;;;;;
37919140;4433000;4211400;4000900;3800800;;;;;;;;;;;;;;;;;;;;;
37919110;2246725;2134400;2027700;1926300;1829900;1738500;1651500;;;;;;;;;;;;;;;;;;
37919109;3529350;3353000;3185300;3025900;2874600;2730900;2594400;;;;;;;;;;;;;;;;;;
37919101;3348775;3181400;3022300;2871200;2727500;2591300;2461700;2338600;;;;;;;;;;;;;;;;;
37919100;3348775;3181400;3022300;2871200;2727500;2591300;2461700;2338600;;;;;;;;;;;;;;;;;
37919102;2945000;2797800;2657900;2525000;2398800;2278800;2164900;2056500;;;;;;;;;;;;;;;;;
37919147;2945000;2797800;2657900;2525000;2398800;2278800;2164900;2056500;;;;;;;;;;;;;;;;;
37919099;3348775;3181400;3022300;2871200;2727500;2591300;2461700;2338600;;;;;;;;;;;;;;;;;
37919033;;;;;;;;;;;;;2790000;2650500;2518000;2392100;2272500;2158800;2051000;;;;;;
37919011;;;;;;;;;;;;;3175600;2747800;2473200;2226000;2003200;1803000;1622700;;;;;;
37919005;;;;;;;;;;;;;3592000;3108400;2797400;2517800;2265900;2039200;1835500;;;;;;
37919070;;;;;;;;;;;;;3175600;2747800;2473200;2226000;2003200;1803000;1622700;;;;;;
37919151;8497410;8072600;7668900;7285500;6921200;6575100;6246300;;;;;;;;;;;;;;;;;;
37919010;;;;;;;;;;;;;2588000;2239600;2015800;1814300;1632800;1469400;1322500;;;;;;
37919009;;;;;;;;;;;;;2588000;2239600;2015800;1814300;1632800;1469400;1322500;;;;;;
37919122;3529350;3353000;3185300;3025900;2874600;2730900;2594400;;;;;;;;;;;;;;;;;;
37919108;5997725;5456000;5130500;4798200;4462300;4150000;3859500;;;;;;;;;;;;;;;;;;
37919107;6874250;6277500;5890000;5499400;5114400;4756500;4423500;;;;;;;;;;;;;;;;;;
50418001;661200;460000;420000;380000;340000;310000;280000;260000;240000;220000;200000;180000;112400;101200;91100;82000;;;;;;;;;
F3619009;;;200000;180000;162000;145800;131200;118100;106300;95700;86100;77500;69700;62800;56500;50800;45800;41200;;;;;;;
F3619010;;;200000;180000;162000;145800;131200;118100;106300;95700;86100;77500;69700;62800;56500;50800;45800;41200;;;;;;;
F3619006;158000;142200;128000;115200;103700;93300;84000;75600;68000;61200;55100;49600;44600;40200;36100;32500;29300;;;;;;;;
F3619008;;;;;;;;80000;72000;64800;58300;52500;47200;42500;38300;34400;31000;27900;;;;;;;
F3619007;;;;;;;;80000;72000;64800;58300;52500;47200;42500;38300;34400;31000;27900;;;;;;;
F3618007;;;;;150000;135000;121500;109400;98400;88600;79700;71700;64600;58100;52300;;;;;;;;;;
B0580004;5888000;;;;;;;;;;;;;;;;;;;;;;;;
B05C4004;6672000;;;;;;;;;;;;;;;;;;;;;;;;
B0504007;7782000;7410000;;;;;;;;;;;;;;;;;;;;;;;
0376401;;;;;;;;;;;;;;;;;;;;;;;;427800;420900
0236401;;;;;;;;;;;;;;;;;;;;;;;;443900;434700
19521011;;;;;;;;;;;;;;;;;;;;;;;;31000000;29450000
19521041;;;;;;;;;;;;;;;;55229900;51666600;48994300;46321900;44540200;;;40300000;;
19521042;;;;;;;;;;;;;;;;56120700;52557400;49885000;47212700;45431000;43400000;41850000;;;
19526046;;;;;;;;;;;;;;;;58793100;55229900;52557400;49885000;48103500;46500000;44950000;;;
19521038;;;;;;;;;;;;;;;;58793100;55229900;52557400;49885000;48103500;46500000;44950000;;;
19521039;;;;;;;;;;;;;;;;58793100;55229900;52557400;49885000;48103500;46500000;44950000;;;
19521052;;;;;;;;;;80172400;77500000;74827600;72155100;69482800;66810300;64137900;61465600;58793100;;;;;;;
19526052;;;;;;;;;;83735700;81063300;78390800;75718400;73045900;70373600;67701200;65028700;;;;;;;;
19521056;;;;;;;;;;80172400;77500000;74827600;72155100;69482800;66810300;64137900;61465600;58793100;;;;;;;
19526058;;;;;;;;;;89080500;86408000;83735700;81063300;78390800;75718400;;;;;;;;;;
19521003;;;;;;;;;;;;;;;;69482800;66810300;61465600;58793100;56120700;;;49600000;;
19521036;;;;;;;;;;;;;;;;69482800;66810300;61465600;58793100;56120700;;;49600000;;
19521067;;;;;;;;;;94550000;90675000;;;;;;;;;;;;;;
19526073;;;;;;;;;;96100000;92225000;;;;;;;;;;;;;;
19521076;114700000;111600000;105400000;99200000;93000000;86800000;82460000;;;;;;;;;;;;;;;;;;
19521085;186000000;162750000;155000000;147250000;;;;;;;;;;;;;;;;;;;;;
19579079;123225000;117800000;111600000;105400000;99200000;94240000;;;;;;;;;;;;;;;;;;;
19521014;;;;;;;;;;;;;;;;;;;;;;;49600000;46500000;
19521055;;;;;;;;;;97988500;94425200;90862100;87298800;83735700;81063300;78390800;;;;;;;;;
19526059;;;;;;;;;;85517200;81954100;79281600;76609200;;;;;;;;;;;;
19521077;;;;;124000000;;;;;;;;;;;;;;;;;;;;
19521001;;;;;;;;;;;;;;;;;;;;;;;;31000000;29450000
19521026;;;;;;;;;;;;;;;;;;;;;;;;31000000;29450000
19521025;;;;;;;;;;;;;;;;;;;;;;;;34100000;32550000
19521004;;;;;;;;;;;;;;;;;;;;;;;;34100000;32550000
19521005;;;;;;;;;;;;;;;;;;;;;;;;35650000;34100000
19526065;;;;;;;;;;;;;;;;;;;;;;;;35650000;34100000
19521053;;;;;;;;;;81954100;79281600;76609200;73936700;71264400;68592000;65919500;63247100;60574800;;;;;;;
19526053;;;;;;;;;;;;;;;;69750000;65875000;62775000;;;;;;;
19521054;;;;;;;;;;99770100;96207000;92643700;89080500;85517200;82844900;80172400;;;;;;;;;
04401215;;;;;;;;;;;;;;;;;;;;;;;;;135500
0041748;;;;;;;;;;;;;;;;;;;;;;;;;135500
0041747;;;;;;;;;;;;;;;;;;;;;;;;;135500
0041750;;;;;;;;;;;;;;;;;;;;;;;;;135500
04403214;;;;;;;;;;;;;;;;;;;;;;;;;135500
0041751;;;;;;;;;;;;;;;;;;;;;;;;;207200
0041752;;;;;;;;;;;;;;;;;;;;;;;;;207200
04414460;;;;;;;;;;;;;;;;;;;;;;;;;5146400
04421427;;;;;;;;;;;;;;;;;;;;;;;1180300;1121300;1065200
04402382;;;;;;;;;;;;;;;;;;;;;;;283300;275700;268200
04402383;;;;;;;;;;;;;;;;;;;;;;290800;283300;275700;268200
04405232;;;;;;;;;;;;;;;;;;;;;;;294600;287100;279500
04402233;;;;;;;;;;;;;;;;;;;303700;294600;287100;279500;271900;264400;256800
04405230;;;;;;;;;;;;;;;;;;;341600;332400;324800;317300;309700;;
04402231;;;;;;;;;;;;;;;;;;;;;;;294600;287100;279500
0041777;;;;;;;;;;;;;;;;;;;;;;;;;5146400
0041775;;;;;;;;;;;;;;;;;;;;;;;;;5146400
04417228;;;;;;;;;;;;;;;;;;;;;;;;;5146400
04414450;;;;;;;;;;;;;;;;;;;;;;;;;5146400
0271708;;;;;;;;;;;;;;;;;;;;;;;;;5146400
0271707;;;;;;;;;;;;;;;;;;;;;;;;;5146400
04414439;;;;;;;;;;;;;;;;;;;;;;;;;5146400
04414438;;;;;;;;;;;;;;;;;;6080300;5776300;5527600;5251200;4974800;4704900;3040200;
04414252;;;;;;;;;;;;;;;;;;6080300;5776300;5527600;5251200;4974800;4704900;3040200;
04414184;;;;;;;;;;;;;;;;;;6080300;5776300;5527600;5251200;4974800;4704900;3040200;
04422174;;;;;;2397100;2201900;2045200;1935600;1817300;1726400;1627600;;;;;;;;;;;;;
04422860;;;;;;2765900;2568900;2410400;2264300;2144400;2035300;1916900;;;;;;;;;;;;;
04422683;;;;;;;;;;;;1880800;1772300;1663800;1150200;1087300;;;;;;;;;
04426879;;4319900;4045400;3759300;3498900;;;;;;;;;;;;;;;;;;;;
04426881;;;;;3498900;3245300;3027600;2852300;2691600;2558700;;;;;;;;;;;;;;;
04422874;;4025400;3774400;3512400;3274400;;;;;;;;;;;;;;;;;;;;
04422749;;;;;;3042500;2844100;2684300;2538200;2417000;2307900;2188200;;;;;;;;;;;;;
04422750;;3730900;3484000;3227600;2993700;2765900;2568900;2410400;2264300;2144400;2035300;1916900;;;;;;;;;;;;;
04422752;;;;;;;;;;2180700;2071700;1953100;;;;;;;;;;;;;
04422751;;;;;;2397100;2201900;2045200;1935600;1817300;1726400;1627600;;;;;;;;;;;;;
04422685;;;;;;;;;;;;1880800;1772300;1663800;1150200;1087300;;;;;;;;;
04422877;5872700;5657400;5621600;5435700;5113800;;;;;;;;;;;;;;;;;;;;
04479701;;;;;;;;;3254100;3038500;2838600;;;;;;;;;;;;;;
04422701;;;;;;;;3414800;3213900;2998500;2798600;2645900;2510700;2431700;;;;;;;;;;;
04422781;;;;;;;;3414800;3213900;2998500;2798600;2645900;2510700;2431700;;;;;;;;;;;
04422912;5872700;5657400;5621600;5435700;5113800;;;;;;;;;;;;;;;;;;;;
04479799;;;;;3498900;3245300;3027600;2852300;2691600;2558700;;;;;;;;;;;;;;;
04479736;;;;;;;;;;2558700;2438800;2307600;;;;;;;;;;;;;
04426736;;;;;;;;;;2558700;2438800;2307600;;;;;;;;;;;;;
04422802;;;;;;3042500;2844100;2684300;2538200;2417000;2307900;2188200;;;;;;;;;;;;;
04479775;;;;;3498900;3245300;3027600;2852300;2691600;2558700;;;;;;;;;;;;;;;
04426775;;;;;3498900;3245300;3027600;2852300;2691600;2558700;;;;;;;;;;;;;;;
04422775;;;;;;3042500;2844100;2684300;2538200;2417000;2307900;2188200;;;;;;;;;;;;;
04422676;;;;;;;;;;;;1880800;1772300;1663800;1150200;1087300;;;;;;;;;
04422774;;;;;;2765900;2568900;2410400;2264300;2144400;2035300;1916900;;;;;;;;;;;;;
04402805;;;;;;;;2912600;2711700;2523000;;;;;;;;;;;;;;;
04405805;;;;;;;;2912600;2711700;2523000;;;;;;;;;;;;;;;
04405916;;;4335500;4072500;3807600;3549600;;;;;;;;;;;;;;;;;;;
04422878;;;;5221200;4836700;;;;;;;;;;;;;;;;;;;;
04410878;;;;5221200;4836700;;;;;;;;;;;;;;;;;;;;
04404875;;;4335500;4072500;3807600;3549600;;;;;;;;;;;;;;;;;;;
04405875;;;4335500;4072500;3807600;3549600;;;;;;;;;;;;;;;;;;;
04405866;3808000;3403900;3154000;2908100;2694000;2495600;;;;;;;;;;;;;;;;;;;
04405864;4609300;4465000;4137100;3814600;3533700;3273600;;;;;;;;;;;;;;;;;;;
04405865;4052000;3958300;3667700;3381800;3132700;2902100;;;;;;;;;;;;;;;;;;;
04405886;4619300;4588600;4251700;3920300;3631600;3364200;;;;;;;;;;;;;;;;;;;
04421223;;;;;;;;;;;;;;;;;;;;;;1573800;1495100;1420300;1349300
04405616;;;;;;;;;;;;;;;;;;;;302200;290800;279500;268200;;
04405532;;;;;;;;;;;;;;;;;;;;302200;290800;279500;268200;;
0281783;;;;;;;;;;;;;;;;;;;;302200;290800;279500;268200;;
0481783;;;;;;;;;;;;;;;;;;;;302200;290800;279500;268200;;
04405225;;;;;;;;;;;;;;;;;;;;302200;290800;279500;268200;;
0281784;;;;;;;;;;;;;;;;;;;;321000;302200;283300;271900;;
04405530;;;;;;;;;;;;;;;;;;;;321000;302200;283300;271900;;
0481784;;;;;;;;;;;;;;;;;;;;321000;302200;283300;271900;;
04402613;;;;;;;;;;;;;;;;;;;;;;;;;313100
04405500;;;;;;;;;;;;;;;;;;;;;;;;;299300
04405403;;;;;;;;;;;;;;;;;;;;;;;;;299300
04405763;;;;;;;;1765200;1669000;1615300;1578800;;;;;;;;;;;;;;
04405762;;;;;;;;;1705600;1651800;1615300;;;;;;;;;;;;;;
04405829;;;;;;;;1765200;1669000;1615300;1578800;;;;;;;;;;;;;;
04405747;;;;;;;;;1705600;1651800;1615300;;;;;;;;;;;;;;
04422488;;;;;;;;;;;;;;;;;;;;;;346200;328900;312500;296800
04405798;;;;;;;;;;;;;;;;1066400;1030200;;;;;;;;
04405674;;;;;;;;;;;;;;;;1066400;1030200;;;;;;;;
02817BX;;;;;;;;1765200;1669000;1615300;1578800;;;;;;;;;;;;;;
04817BX;;;;;;;;1765200;1669000;1615300;1578800;;;;;;;;;;;;;;
04405797;;;;;;;;;1687300;1633500;1597000;;;;;;;;;;;;;;
02817BW;;;;;;;;;1687300;1633500;1597000;;;;;;;;;;;;;;
04817BW;;;;;;;;;1687300;1633500;1597000;;;;;;;;;;;;;;
04422224;;;;;;;;;;;;;;;;;;;;;;346200;328900;312500;296800
04422474;;;;;;;;;;;;;;;;;;;;;;346200;328900;312500;296800
02817BU;;;;;;;;;1705600;1651800;1615300;;;;;;;;;;;;;;
04817BU;;;;;;;;;1705600;1651800;1615300;;;;;;;;;;;;;;
0041766;;;;;;;;;;;;;;;;;;;;;;;;;135500
04405077;;;;;;;;;;;;;;;;;;;;;;401900;395200;388500;381800
04405638;;;;;;;;;;;;;;;;;;;;;;401900;395200;388500;381800
04402201;;;;;;;;;;;;;;;;;;;;;;401900;395200;388500;381800
04405201;;;;;;;;;;;;;;;;;;;;;;401900;395200;388500;381800
04405670;;;;;;;;;;;;;;;;;;;;;;401900;395200;388500;381800
04405671;;;;;;;;;;;;;;;;;;;;;;401900;395200;388500;381800
04402029;;;;;;;;;;;;;;;;;;;;;;401900;395200;388500;381800
04405029;;;;;;;;;;;;;;;;;;;;;;401900;395200;388500;381800
04817CN;3318200;2978800;;;;;;;;;;;;;;;;;;;;;;;
04817CM;3318200;2978800;;;;;;;;;;;;;;;;;;;;;;;
04817CP;3627600;3242700;2988600;2741000;2525600;;;;;;;;;;;;;;;;;;;;
04817CR;3957100;;;;;;;;;;;;;;;;;;;;;;;;
04817CJ;3627600;3242700;2988600;2741000;2525600;;;;;;;;;;;;;;;;;;;;
04817CS;4208300;;;;;;;;;;;;;;;;;;;;;;;;
04817CL;4143500;4125200;3802000;3487000;3213000;;;;;;;;;;;;;;;;;;;;
04817CK;3809200;3704600;3414300;3131400;2885400;;;;;;;;;;;;;;;;;;;;
04412786;;;;;;;;;;;;;1634500;1585500;1537900;1484500;1439900;1396700;1354900;1307800;1268500;1230500;1193600;;
04412822;;;;;;;;;;;;;1634500;1585500;1537900;1484500;1439900;1396700;1354900;1307800;1268500;1230500;1193600;;
02817BP;;;;;;;2386100;2208400;2053800;1900800;1767800;;;;;;;;;;;;;;
04817BP;;;;;;;2386100;2208400;2053800;1900800;1767800;;;;;;;;;;;;;;
04412790;;;3356000;3061500;2805900;2571700;2379900;2202700;2048500;1895900;1763200;1631800;;;;;;;;;;;;;
04412720;;;;;;;;;;;;;1634500;1585500;1537900;1484500;1439900;1396700;1354900;1307800;1268500;1230500;1193600;;
04412801;;;;;;;;;;;;;1634500;1585500;1537900;1484500;1439900;1396700;1354900;1307800;1268500;1230500;1193600;;
04412561;;;;;;;;;;;;;;;;1250100;1211500;1173400;1135800;;;;;;
02817BR;;;;;;;;2086800;1940700;1796200;1670400;;;;;;;;;;;;;;
04817BR;;;3356000;3061500;2805900;2571700;2379900;2202700;2048500;1895900;1763200;1631800;;;;;;;;;;;;;
04430789;;;3356000;3061500;2805900;2571700;2379900;2202700;2048500;1895900;1763200;1631800;;;;;;;;;;;;;
04412141;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04413141;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04411141;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04415141;;;;;;;;;;;;;;;;;;1067000;945700;917000;892800;868700;844600;820400;
04413036;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04413085;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04413518;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04434318;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04413023;;;;;;;;;;;;;;;;;;;873000;844600;820400;796300;772200;748100;723900
04413059;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04413424;;;;;;;;;;;;;;;;;;;897200;868700;844600;820400;796300;772200;748100
04434319;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04434323;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04434322;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04413504;;;;;;;;;;;;;;;;;;;921500;892800;868700;844600;820400;796300;772200
04413503;;;;;;;;;;;;;;;;;;;873000;844600;820400;796300;772200;748100;723900
04413505;;;;;;;;;;;;;;;;;;;921500;892800;868700;844600;820400;796300;772200
04413481;;;;;;;;;;;;;;;;;;;921500;892800;868700;844600;820400;796300;772200
04415502;;;;;;;;;;;;;;;;;;1067000;945700;917000;892800;868700;844600;820400;
04413240;;;;;;;;;;;;;;;;;;;;;689500;641200;596300;554600;515800
04413236;;;;;;;;;;;;;;;;;;;;;;;;;748100
04413246;;;;;;;;;;;;;;;;;;;;;;;;796300;772200
04412242;;;;;;;;;;;;;;;;;;;;;;;820400;772200;748100
04413237;;;;;;;;;;;;;;;;;;;921500;892800;868700;844600;820400;796300;772200
